,District,Chidren_Measured,Growth_Problem,Underweight,SAM,MAM,Stunted,Overweight_Obese
1,Mullaitivu,8827,3289,1270,109,811,796,41
2,Kilinochchi,9894,2680,1136,90,544,689,15
3,Mannar,10580,3395,1333,128,738,926,55
4,Vavuniya,11966,4156,1852,145,1046,1206,43
5,ColomboMC,18871,7281,2520,325,1530,1765,149
6,NIHS,20259,8672,2614,176,1318,1482,157
7,Ampara,20265,12135,3688,308,2109,1937,101
8,Polonnaruwa,33983,16710,6141,598,3975,3133,184
9,Matale,37221,16902,6400,496,3705,3699,213
10,Jaffna,39448,13993,5199,446,3182,3307,405
11,Trincomalee,40463,14186,6978,500,3291,5000,172
12,Monaragala,40559,18263,6497,471,3578,3763,260
13,Kalmunai,44863,14694,5299,382,2492,3761,200
14,Hambantota,48938,25375,7574,693,5237,3833,246
15,Batticaloa,49946,18113,6432,592,3605,3789,310
16,NuwaraEliya,51460,26529,12310,778,4668,11727,201
17,Kegalle,52525,21466,8137,736,4650,4354,322
18,Matara,54776,30966,9210,808,5613,4596,286
19,Kalutara,56563,20740,7437,600,4430,4249,371
20,Puttalam,57389,17582,8166,892,5152,4659,290
21,Ratnapura,57764,30899,10154,907,5589,6392,394
22,Badulla,60069,26659,11449,983,6037,7183,301
23,Galle,65337,28459,10116,1137,6711,4975,446
24,Anuradhapura,67487,40261,12045,935,6770,6501,360
25,Colombo,81754,28370,8021,751,4767,4134,522
26,Kandy,95232,47092,15393,1070,7222,10147,513
27,Kurunegala,107908,48478,16798,1701,11057,9427,486
28,Gampaha,119400,45003,14472,1663,9632,7438,963
